serial number,Day of the week,Line,Station Number,Starting Station,Direction,5:30 AM,6:00 AM,6:30 AM,7:00 AM,7:30 AM,8:00 AM,8:30 AM,9:00 AM,9:30 AM,10:00 AM,10:30 AM,11:00 AM,11:30 AM,12:00 PM,12:30 PM,1:00 PM,1:30 PM,2:00 PM,2:30 PM,3:00 PM,3:30 PM,4:00 PM,4:30 PM,5:00 PM,5:30 PM,6:00 PM,6:30 PM,7:00 PM,7:30 PM,8:00 PM,8:30 PM,9:00 PM,9:30 PM,10:00 PM,10:30 PM,11:00 PM,11:30 PM,12:00 AM,12:30 AM,1:00 AM,1:30 AM
366,weekday,6,2616,구산,하선,17.1,13,19.9,31.5,40.3,46.5,29.1,22.9,21,19.4,17.8,17,16.4,18.5,18.1,17,17.1,16,15.5,18,18.1,22.3,25.7,23.2,18.1,21.7,21.1,13.7,11.1,10.3,10.1,10,8.9,10.4,6.5,5.4,3.4,1.7,1.9
367,weekday,6,2617,새절,상선,8.5,8.4,8.8,11.8,13.7,16.3,14.5,11.6,13.7,14.8,13.6,13.6,13.9,15.9,15.4,16,17.2,17.8,17.4,19.4,23.7,27.6,32.3,30.3,39.5,54,69,43.6,34.4,27.6,25.2,28.5,29.5,29.4,24.3,19.2,12.4,8.2,5.6
368,weekday,6,2617,새절,하선,25.5,24.3,32.7,55.1,60.4,82.5,50.3,37,34.7,28.6,25.5,23.5,21.7,24,22.8,23,20.6,19.7,18.5,18.3,21,25.8,29.2,29,21.3,23.8,20.6,13.3,10.7,10.1,9.8,10.3,8.8,10.3,6.2,4.8,2.8,1.4,1.7
439,weekday,7,2714,마들,상선,8.9,8.5,9.9,10.3,12.9,16.5,11,6.8,7.1,6.9,8.3,10.1,10.3,11.1,10.4,10.6,10.1,9.8,11.7,13,14,15.5,19,22.4,27.9,32.2,33.3,26.1,16.2,18.5,18.4,17.9,19.4,18.2,15.7,11.8,7.4,6.6,5.1
440,weekday,7,2714,마들,하선,26.8,20,29.9,36.3,50,46,43.9,43.9,30.8,22.1,17.2,17.3,15.4,16.2,17,17.2,16.3,15.2,13.9,14.9,14.9,15.5,18.5,14.7,11.7,15.4,15.4,10.2,8.3,6.6,6.3,6.5,5.8,6.5,4.9,3.6,2.7,1.1,1.6
441,weekday,7,2715,노원,상선,9.1,8.6,11,12.3,14.6,17.2,11.3,8.1,8.2,7.7,9.6,11.7,12.2,13.5,12.4,13.3,12.9,12.7,14.7,16.2,18.3,20,24.7,29.4,37.6,42.8,45,36.1,22.8,25.3,24.9,24.2,27.3,25,22.4,16.4,10.8,10.3,8
517,weekday,8,2811,암사,상선,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
521,weekday,8,2813,강동구청,상선,7.8,14.5,14.1,16.7,19.1,28.2,24.8,25.3,23.8,20.3,19.8,21.3,22.3,21.9,25.3,27.1,25.5,26.7,32.4,40.7,42.1,48.1,52.3,73.3,81.1,87.4,119.6,66.9,62.2,45.4,46.5,47.1,45.4,51.3,37.5,33.9,25.2,14.4,7.9
522,weekday,8,2813,강동구청,하선,31.4,41.6,59,75.9,103.3,134.2,108.4,98.8,67.2,49.6,35.8,34.9,33.8,34.7,32.8,35.5,32.4,28.7,29.7,27.1,31.4,35.3,39.6,45.7,48,45,35.7,25.1,19.9,18.5,17.7,18.4,16.4,19.5,13.6,10.2,6.9,2.9,3.4
523,weekday,8,2814,몽촌토성,상선,7.8,14.6,15.5,16.9,20.1,30.5,30.7,26.3,24.6,20.8,21,22.1,21.7,24.3,26.9,29.3,27.6,28,34.3,43.1,45.1,49.1,61.1,82.5,85.4,100.3,114.4,76.2,59.8,53.9,49.3,56.4,51.3,56.5,42.6,38.6,28.6,16.8,9.5
